Year, DOY, Month, DOM, Time,  ExFlow, GM, InFlow, HV, Spare,LLD, ULD, TankP, Temp, AirT, RelHum, Press,  Batt, Comments, Flag
2015,91,4,1,0:00,0,0,11.22,804,-9999,3268,0,2532,25.3,22.78,26.16,990.9823,14.08,,0
2015,91,4,1,0:30,0,0,11.22,804,-9999,4772,0,2532,25.33,22.81,26.11,990.916,14.08,,0
2015,91,4,1,1:00,0,0,11.22,804,-9999,5244,0,2532,25.35,22.81,26.1,990.9163,14.08,,0
2015,91,4,1,1:30,0,0,11.22,804,-9999,4476,0,2532,25.36,22.79,26.13,990.8012,14.08,,0
2015,91,4,1,2:00,0,0,11.22,804,-9999,4058,0,2532,25.34,22.78,26.14,990.5323,14.08,,0
2015,91,4,1,2:30,0,0,11.22,804,-9999,4025,0,2532,25.34,22.77,26.15,990.3324,14.08,,0
2015,91,4,1,3:00,0,0,11.22,804,-9999,3862,0,2532,25.31,22.76,26.18,990.1626,14.08,,0
2015,91,4,1,3:30,0,0,11.21,804,-9999,3568,0,2532,25.31,22.77,26.2,990.1428,14.08,,0
2015,91,4,1,4:00,0,0,11.21,804,-9999,3945,0,2532,25.31,22.75,26.22,990.1564,14.08,,0
2015,91,4,1,4:30,0,0,11.22,804,-9999,4374,0,2532,25.29,22.72,26.24,990.2247,14.08,,0
2015,91,4,1,5:00,0,0,11.21,804,-9999,4494,0,2532,25.27,22.68,26.25,990.309,14.08,,0
2015,91,4,1,5:30,0,0,11.23,804,-9999,4750,0,2532,25.25,22.67,26.3,990.4344,14.08,,0
2015,91,4,1,6:00,0,0,11.22,804,-9999,4986,0,2532,25.22,22.64,26.33,990.4537,14.07,,0
2015,91,4,1,6:30,0,0,11.21,804,-9999,5178,0,2532,25.2,22.63,26.33,990.5851,14.08,,0
2015,91,4,1,7:00,0,0,11.22,804,-9999,4879,0,2532,25.19,22.62,26.34,990.8643,14.07,,0
2015,91,4,1,7:30,0,0,11.23,804,-9999,4798,0,2537,25.16,22.63,26.34,991.1309,14.07,,0
2015,91,4,1,8:00,0,0,11.23,804,-9999,4466,0,2540,25.17,22.65,26.42,991.3039,14.07,,0
2015,91,4,1,8:30,0,0,11.25,804,-9999,4507,0,2545,25.23,22.85,26.43,991.6073,14.08,,0
2015,91,4,1,9:00,0,0,11.24,804,-9999,4547,0,2548,25.4,23.12,26.18,991.6697,14.08,,0
2015,91,4,1,9:30,0,0,11.24,804,-9999,3536,0,2546,25.64,23.25,26,991.7403,14.08,,0
2015,91,4,1,10:00,0,0,11.24,804,-9999,2626,0,2550,25.87,23.43,25.72,991.7689,14.08,,0
2015,91,4,1,10:30,0,0,11.24,804,-9999,1830,0,2551,26.08,23.51,25.6,991.7516,14.07,,0
2015,91,4,1,11:00,0,0,11.24,804,-9999,1429,0,2548,26.21,23.49,25.62,991.6627,14.08,,2
2015,91,4,1,11:30,0,0,11.23,804,-9999,18186,0,2547,26.27,23.45,25.66,991.3222,14.08,,2
2015,91,4,1,12:00,0,0,11.23,804,-9999,47300,0,2551,26.32,23.61,25.45,990.8654,14.08,,2
2015,91,4,1,12:30,0,0,11.23,804,-9999,61971,0,2557,26.38,23.62,25.43,990.5014,14.07,,2
2015,91,4,1,13:00,0,0,11.21,804,-9999,72679,0,2554,26.4,23.41,25.69,990.1797,14.08,,2
2015,91,4,1,13:30,0,0,11.21,804,-9999,78808,0,2545,26.33,23.36,25.73,989.8215,14.08,,2
2015,91,4,1,14:00,0,0,11.21,804,-9999,82962,0,2537,26.35,23.63,25.41,989.4275,14.08,,2
2015,91,4,1,14:30,0,0,11.2,804,-9999,84004,0,2548,26.42,23.71,25.27,989.1195,14.08,,2
2015,91,4,1,15:00,0,0,11.21,804,-9999,85602,0,2552,26.49,23.86,25.18,988.9079,14.07,,2
2015,91,4,1,15:30,0,0,11.19,804,-9999,85953,0,2554,26.55,23.83,25.23,988.6228,14.07,,2
2015,91,4,1,16:00,0,0,11.19,804,-9999,85469,0,2541,26.59,23.79,25.22,988.5078,14.08,,2
2015,91,4,1,16:30,0,0,11.19,804,-9999,86391,0,2545,26.59,23.76,25.18,988.3214,14.08,,2
2015,91,4,1,17:00,0,0,11.19,804,-9999,86111,0,2548,26.57,23.73,25.2,988.1795,14.08,,2
2015,91,4,1,17:30,0,0,11.19,804,-9999,86242,0,2548,26.55,23.73,25.22,988.1136,14.07,,2
2015,91,4,1,18:00,0,0,11.19,804,-9999,86223,0,2545,26.53,23.71,25.19,988.131,14.08,,2
2015,91,4,1,18:30,0,0,11.19,804,-9999,86401,0,2539,26.5,23.62,25.12,988.2714,14.08,,2
2015,91,4,1,19:00,0,0,11.19,804,-9999,86820,0,2528,26.42,23.53,25.14,988.8847,14.08,,2
