Year, DOY, Month, DOM, Time,  ExFlow, GM, InFlow, HV, Spare,LLD, ULD, TankP, Temp, AirT, RelHum, Press,  Batt, Comments, Flag
2015, 60,03,01,00:00, 0, 0, 11.28, 804,-9999, 548, 0, 2535, 25.89, 23.62, 24.9, 988.4023, 14.11,, 0
2015, 60,03,01,00:30, 0, 0, 11.28, 804,-9999, 536, 0, 2535, 25.97, 23.67, 24.82, 988.0689, 14.11,, 0
2015, 60,03,01,01:00, 0, 0, 11.26, 804,-9999, 485, 0, 2533, 26.04, 23.71, 24.78, 987.3653, 14.11,, 0
2015, 60,03,01,01:30, 0, 0, 11.26, 804,-9999, 435, 0, 2533, 26.09, 23.74, 24.78, 987.3141, 14.11,, 0
2015, 60,03,01,02:00, 0, 0, 11.26, 804,-9999, 440, 0, 2534, 26.12, 23.76, 24.74, 987.3353, 14.11,, 0
2015, 60,03,01,02:30, 0, 0, 11.26, 804,-9999, 446, 0, 2533, 26.16, 23.78, 24.71, 986.9827, 14.11,, 0
2015, 60,03,01,03:00, 0, 0, 11.26, 804,-9999, 482, 0, 2532, 26.18, 23.79, 24.72, 986.8257, 14.1,, 0
2015, 60,03,01,03:30, 0, 0, 11.25, 804,-9999, 450, 0, 2533, 26.21, 23.83, 24.7, 986.7311, 14.11,, 0
2015, 60,03,01,04:00, 0, 0, 11.25, 804,-9999, 427, 0, 2532, 26.23, 23.86, 24.7, 986.4645, 14.11,, 0
2015, 60,03,01,04:30, 0, 0, 11.24, 804,-9999, 473, 0, 2532, 26.25, 23.88, 24.67, 986.3234, 14.11,, 0
2015, 60,03,01,05:00, 0, 0, 11.25, 804,-9999, 434, 0, 2533, 26.28, 23.88, 24.64, 986.1927, 14.11,, 0
2015, 60,03,01,05:30, 0, 0, 11.25, 804,-9999, 445, 0, 2533, 26.28, 23.88, 24.61, 986.3682, 14.11,, 0
2015, 60,03,01,06:00, 0, 0, 11.24, 804,-9999, 436, 0, 2531, 26.28, 23.87, 24.6, 986.4669, 14.11,, 0
2015, 60,03,01,06:30, 0, 0, 11.25, 804,-9999, 468, 0, 2531, 26.28, 23.84, 24.61, 986.5851, 14.11,, 0
2015, 60,03,01,07:00, 0, 0, 11.25, 804,-9999, 484, 0, 2533, 26.28, 23.85, 24.59, 986.7411, 14.1,, 0
2015, 60,03,01,07:30, 0, 0, 11.25, 804,-9999, 433, 0, 2532, 26.25, 23.82, 24.6, 986.9089, 14.1,, 0
2015, 60,03,01,08:00, 0, 0, 11.27, 804,-9999, 384, 0, 2533, 26.25, 23.79, 24.65, 987.4126, 14.11,, 0
